label,dominant_freq,band_power_ratio,peak magnitude,spectral centroid,spectral spread
off,0.1,0.9536,700.05,6.87,7.58
10Hz,10.04,0.9143,15114.82,11.54,5.93
20Hz,20.08,0.9177,9796.7,15.87,6.96
off,0.1,0.9252,420.15,8.46,7.96
off,0.1,0.992,1903.47,4.26,6.2
off,0.11,0.9923,1071.56,5.65,7.79
off,0.1,0.9936,1314.8,4.95,7.33
off,0.1,0.9768,596.33,5.93,7.35
off,-0.49,0.0,995.94,-25.1,33.23
off,0.01,0.0,431.41,-1.01,1.08
off,0.1,0.5003,128.01,10.19,7.29
off,0.1,0.2233,63.34,11.28,6.98
off,5.62,0.3907,65.53,10.15,7.24
off,0.1,0.7255,217.25,10.41,7.87
10Hz,9.96,0.9056,15107.89,11.06,5.34
10Hz,9.98,0.9077,17692.64,11.67,5.73
10Hz,10.0,0.912,18529.01,10.91,6.08
10Hz,10.0,0.9112,18477.61,10.89,6.09
10Hz,10.0,0.9114,18427.12,10.91,6.07
10Hz,10.0,0.912,18404.31,10.94,6.09
10Hz,10.0,0.9033,18781.96,11.02,6.15
10Hz,10.02,0.8762,17062.7,11.25,5.37
10Hz,10.0,0.9112,18223.76,10.86,6.11
10Hz,10.04,0.9,13389.08,11.04,5.19
10Hz,9.98,0.8917,17485.92,11.37,5.63
10Hz,10.02,0.8915,16508.17,12.16,5.63
10Hz,9.98,0.8966,17519.04,11.66,5.82
20Hz,19.92,0.908,9805.24,15.54,7.17
20Hz,20.0,0.9101,12416.02,15.08,7.38
20Hz,19.94,0.8959,13188.31,14.88,7.34
20Hz,19.92,0.8844,10648.6,15.1,6.74
20Hz,20.0,0.9096,12405.93,15.05,7.38
20Hz,20.0,0.9066,12824.07,14.24,7.32
20Hz,19.96,0.9124,14463.91,13.03,7.51
20Hz,19.98,0.9046,14129.11,14.75,7.36
20Hz,19.92,0.9036,10317.99,15.25,7.15
20Hz,19.94,0.9013,12502.28,15.56,7.07
20Hz,19.96,0.9034,14989.45,13.86,7.34
20Hz,19.96,0.9062,14868.5,13.56,7.41
20Hz,19.92,0.8949,10833.64,15.11,7.09
